ID_Venda,ID_Cliente,Produto,Categoria,Quantidade,Preço,Data
1,982,Monitor,Imagem,4.0,177.44,2024-04-02
2,972,Tablet,Acessórios,5.0,984.28,2024-06-11
3,530,Mouse,Portáteis,1.0,2177.53,2024-03-08
4,854,Teclado,Acessórios,5.0,1514.71,2024-09-29
5,932,Fone de Ouvido,Acessórios,3.0,311.76,2024-01-19
6,569,Smartphone,Periféricos,5.0,1918.45,2024-11-04
7,767,Teclado,Portáteis,1.0,2262.33,2024-10-02
8,803,Câmera,Periféricos,5.0,1992.67,2024-07-05
9,609,Monitor,Acessórios,2.0,4898.86,2024-06-06
10,959,,Acessórios,2.0,2738.19,2024-08-07
11,695,Câmera,Acessórios,2.0,2099.81,2024-04-14
12,353,Câmera,Portáteis,5.0,2745.65,2023-12-03
13,39,Smartphone,Imagem,1.0,895.33,2024-04-24
14,492,Notebook,Periféricos,1.0,2294.73,2024-10-16
15,494,Teclado,Acessórios,3.0,3536.56,2024-01-22
16,684,Notebook,Portáteis,5.0,4269.31,2024-01-07
17,656,Notebook,Acessórios,2.0,3212.46,2024-05-16
18,208,Tablet,Periféricos,1.0,4708.29,2024-11-02
19,229,Teclado,Imagem,2.0,4470.3,2024-05-16
20,21,Notebook,Portáteis,4.0,3381.63,2024-02-19
21,600,Smartwatch,Portáteis,4.0,514.37,2023-12-30
22,71,Tablet,Imagem,1.0,349.06,2024-09-08
23,869,Fone de Ouvido,Periféricos,3.0,3059.58,2024-02-04
24,842,Monitor,Acessórios,1.0,3097.85,2024-02-02
25,474,Câmera,Portáteis,3.0,538.53,2023-11-26
26,128,Smartphone,Portáteis,4.0,4845.53,2024-03-17
27,399,Teclado,Periféricos,4.0,1132.12,2024-01-07
28,180,Teclado,Imagem,2.0,4927.98,2024-09-16
29,219,Notebook,Acessórios,5.0,2680.08,2024-08-02
30,391,Fone de Ouvido,Portáteis,5.0,3208.03,2024-01-13
31,365,Notebook,Acessórios,1.0,372.89,2024-09-07
32,441,Mouse,Imagem,1.0,285.58,2024-02-26
33,209,Câmera,Acessórios,2.0,1553.41,2024-02-26
34,794,Notebook,Portáteis,4.0,2553.16,2024-08-23
35,104,Smartphone,Acessórios,1.0,1335.06,2023-12-20
36,442,Tablet,Imagem,1.0,2397.54,2024-07-15
37,795,Smartwatch,Portáteis,1.0,4505.29,2024-04-20
38,201,Câmera,Imagem,2.0,2369.24,2024-05-08
39,327,Teclado,Periféricos,5.0,3059.77,2024-11-07
40,521,Monitor,Periféricos,,1060.02,2024-01-29
41,578,Notebook,Imagem,3.0,4096.6,2024-10-09
42,698,Smartphone,Periféricos,3.0,2698.06,2024-09-12
43,79,Notebook,Periféricos,4.0,4684.12,2024-07-08
44,611,Notebook,Acessórios,1.0,1664.03,2024-03-22
45,194,Câmera,Portáteis,3.0,2551.79,2024-07-07
46,236,Monitor,Periféricos,5.0,4919.16,2024-07-05
47,256,Câmera,Imagem,2.0,3822.77,2024-02-19
48,687,Câmera,Acessórios,2.0,2568.75,2024-09-10
49,18,Smartwatch,Acessórios,3.0,2424.76,2024-11-11
50,363,Smartwatch,Periféricos,5.0,1343.69,2024-02-14
51,861,Mouse,Periféricos,4.0,968.17,2024-09-07
52,825,Mouse,Imagem,2.0,2861.83,2024-04-27
53,100,Notebook,Imagem,4.0,3291.17,2024-09-01
54,254,Tablet,Imagem,2.0,558.09,2024-04-28
55,160,Monitor,Periféricos,3.0,4893.78,2023-11-22
56,939,Smartwatch,Periféricos,5.0,927.49,2024-07-18
57,29,Monitor,Imagem,1.0,2193.46,2024-01-04
